label n=0 pc=2212 pf=108 | mention pc=2379 pf=3591
label n=0 pc=2212 pf=108 | mention pc=2140 pf=3793
label n=0 pc=2212 pf=108 | mention pc=2151 pf=3830
label n=0 pc=2212 pf=108 | mention pc=1833 pf=3849
label n=0 pc=2215 pf=127 | mention pc=2474 pf=121
label n=0 pc=2215 pf=127 | mention pc=2262 pf=253
label n=0 pc=2215 pf=127 | mention pc=2565 pf=311
label n=0 pc=2215 pf=127 | mention pc=2405 pf=348
label n=0 pc=2215 pf=127 | mention pc=2122 pf=505
label n=0 pc=2215 pf=127 | mention pc=2140 pf=710
label n=0 pc=2215 pf=127 | mention pc=2151 pf=747
label n=0 pc=2215 pf=127 | mention pc=2486 pf=766
label n=0 pc=2215 pf=127 | mention pc=2001 pf=1208
label n=0 pc=2215 pf=127 | mention pc=2569 pf=1227
label n=0 pc=2215 pf=127 | mention pc=2446 pf=1523
label n=0 pc=2215 pf=127 | mention pc=2225 pf=1542
label n=0 pc=2215 pf=127 | mention pc=2151 pf=1668
label n=0 pc=2215 pf=127 | mention pc=2126 pf=1771
label n=0 pc=2215 pf=127 | mention pc=2382 pf=1910
label n=0 pc=2215 pf=127 | mention pc=2138 pf=2347
label n=0 pc=2215 pf=127 | mention pc=2058 pf=2366
label n=0 pc=2215 pf=127 | mention pc=2375 pf=2462
label n=0 pc=2215 pf=127 | mention pc=1787 pf=2503
label n=0 pc=2215 pf=127 | mention pc=2013 pf=2539
label n=0 pc=2215 pf=127 | mention pc=2439 pf=2558
label n=0 pc=2215 pf=127 | mention pc=1972 pf=2679
label n=0 pc=2215 pf=127 | mention pc=2208 pf=3370
label n=0 pc=2215 pf=127 | mention pc=2379 pf=3591
label n=0 pc=2215 pf=127 | mention pc=2140 pf=3793
label n=0 pc=2215 pf=127 | mention pc=2151 pf=3830
label n=0 pc=2215 pf=127 | mention pc=1833 pf=3849
label n=0 pc=2222 pf=151 | mention pc=2474 pf=121
label n=0 pc=2222 pf=151 | mention pc=2262 pf=253
label n=0 pc=2222 pf=151 | mention pc=2565 pf=311
label n=0 pc=2222 pf=151 | mention pc=2405 pf=348
label n=0 pc=2222 pf=151 | mention pc=2122 pf=505
label n=0 pc=2222 pf=151 | mention pc=2140 pf=710
label n=0 pc=2222 pf=151 | mention pc=2151 pf=747
label n=0 pc=2222 pf=151 | mention pc=2486 pf=766
label n=0 pc=2222 pf=151 | mention pc=2001 pf=1208
label n=0 pc=2222 pf=151 | mention pc=2569 pf=1227
label n=0 pc=2222 pf=151 | mention pc=2446 pf=1523
label n=0 pc=2222 pf=151 | mention pc=2225 pf=1542
label n=0 pc=2222 pf=151 | mention pc=2151 pf=1668
label n=0 pc=2222 pf=151 | mention pc=2126 pf=1771
label n=0 pc=2222 pf=151 | mention pc=2382 pf=1910
label n=0 pc=2222 pf=151 | mention pc=2138 pf=2347
label n=0 pc=2222 pf=151 | mention pc=2058 pf=2366
label n=0 pc=2222 pf=151 | mention pc=2375 pf=2462
label n=0 pc=2222 pf=151 | mention pc=1787 pf=2503
label n=0 pc=2222 pf=151 | mention pc=2013 pf=2539
label n=0 pc=2222 pf=151 | mention pc=2439 pf=2558
label n=0 pc=2222 pf=151 | mention pc=1972 pf=2679
label n=0 pc=2222 pf=151 | mention pc=2208 pf=3370
label n=0 pc=2222 pf=151 | mention pc=2379 pf=3591
label n=0 pc=2222 pf=151 | mention pc=2140 pf=3793
label n=0 pc=2222 pf=151 | mention pc=2151 pf=3830
label n=0 pc=2222 pf=151 | mention pc=1833 pf=3849
label n=0 pc=2229 pf=172 | mention pc=2474 pf=121
label n=0 pc=2229 pf=172 | mention pc=2262 pf=253
label n=0 pc=2229 pf=172 | mention pc=2565 pf=311
label n=0 pc=2229 pf=172 | mention pc=2405 pf=348
label n=0 pc=2229 pf=172 | mention pc=2122 pf=505
label n=0 pc=2229 pf=172 | mention pc=2140 pf=710
label n=0 pc=2229 pf=172 | mention pc=2151 pf=747
label n=0 pc=2229 pf=172 | mention pc=2486 pf=766
label n=0 pc=2229 pf=172 | mention pc=2001 pf=1208
label n=0 pc=2229 pf=172 | mention pc=2569 pf=1227
label n=0 pc=2229 pf=172 | mention pc=2446 pf=1523
label n=0 pc=2229 pf=172 | mention pc=2225 pf=1542
label n=0 pc=2229 pf=172 | mention pc=2151 pf=1668
label n=0 pc=2229 pf=172 | mention pc=2126 pf=1771
label n=0 pc=2229 pf=172 | mention pc=2382 pf=1910
label n=0 pc=2229 pf=172 | mention pc=2138 pf=2347
label n=0 pc=2229 pf=172 | mention pc=2058 pf=2366
label n=0 pc=2229 pf=172 | mention pc=2375 pf=2462
label n=0 pc=2229 pf=172 | mention pc=1787 pf=2503
label n=0 pc=2229 pf=172 | mention pc=2013 pf=2539
label n=0 pc=2229 pf=172 | mention pc=2439 pf=2558
label n=0 pc=2229 pf=172 | mention pc=1972 pf=2679
label n=0 pc=2229 pf=172 | mention pc=2208 pf=3370
label n=0 pc=2229 pf=172 | mention pc=2379 pf=3591
label n=0 pc=2229 pf=172 | mention pc=2140 pf=3793
label n=0 pc=2229 pf=172 | mention pc=2151 pf=3830
label n=0 pc=2229 pf=172 | mention pc=1833 pf=3849
label n=0 pc=2236 pf=189 | mention pc=2474 pf=121
label n=0 pc=2236 pf=189 | mention pc=2262 pf=253
label n=0 pc=2236 pf=189 | mention pc=2565 pf=311
label n=0 pc=2236 pf=189 | mention pc=2405 pf=348
label n=0 pc=2236 pf=189 | mention pc=2122 pf=505
label n=0 pc=2236 pf=189 | mention pc=2140 pf=710
label n=0 pc=2236 pf=189 | mention pc=2151 pf=747
label n=0 pc=2236 pf=189 | mention pc=2486 pf=766
label n=0 pc=2236 pf=189 | mention pc=2001 pf=1208
label n=0 pc=2236 pf=189 | mention pc=2569 pf=1227
label n=0 pc=2236 pf=189 | mention pc=2446 pf=1523
label n=0 pc=2236 pf=189 | mention pc=2225 pf=1542
label n=0 pc=2236 pf=189 | mention pc=2151 pf=1668
label n=0 pc=2236 pf=189 | mention pc=2126 pf=1771
label n=0 pc=2236 pf=189 | mention pc=2382 pf=1910
label n=0 pc=2236 pf=189 | mention pc=2138 pf=2347
label n=0 pc=2236 pf=189 | mention pc=2058 pf=2366
label n=0 pc=2236 pf=189 | mention pc=2375 pf=2462
label n=0 pc=2236 pf=189 | mention pc=1787 pf=2503
label n=0 pc=2236 pf=189 | mention pc=2013 pf=2539
label n=0 pc=2236 pf=189 | mention pc=2439 pf=2558
label n=0 pc=2236 pf=189 | mention pc=1972 pf=2679
label n=0 pc=2236 pf=189 | mention pc=2208 pf=3370
label n=0 pc=2236 pf=189 | mention pc=2379 pf=3591
label n=0 pc=2236 pf=189 | mention pc=2140 pf=3793
label n=0 pc=2236 pf=189 | mention pc=2151 pf=3830
label n=0 pc=2236 pf=189 | mention pc=1833 pf=3849
label n=0 pc=2243 pf=207 | mention pc=2474 pf=121
label n=0 pc=2243 pf=207 | mention pc=2262 pf=253
label n=0 pc=2243 pf=207 | mention pc=2565 pf=311
label n=0 pc=2243 pf=207 | mention pc=2405 pf=348
label n=0 pc=2243 pf=207 | mention pc=2122 pf=505
label n=0 pc=2243 pf=207 | mention pc=2140 pf=710
label n=0 pc=2243 pf=207 | mention pc=2151 pf=747
label n=0 pc=2243 pf=207 | mention pc=2486 pf=766
label n=0 pc=2243 pf=207 | mention pc=2001 pf=1208
label n=0 pc=2243 pf=207 | mention pc=2569 pf=1227
label n=0 pc=2243 pf=207 | mention pc=2446 pf=1523
label n=0 pc=2243 pf=207 | mention pc=2225 pf=1542
label n=0 pc=2243 pf=207 | mention pc=2151 pf=1668
label n=0 pc=2243 pf=207 | mention pc=2126 pf=1771
label n=0 pc=2243 pf=207 | mention pc=2382 pf=1910
label n=0 pc=2243 pf=207 | mention pc=2138 pf=2347
label n=0 pc=2243 pf=207 | mention pc=2058 pf=2366
label n=0 pc=2243 pf=207 | mention pc=2375 pf=2462
label n=0 pc=2243 pf=207 | mention pc=1787 pf=2503
label n=0 pc=2243 pf=207 | mention pc=2013 pf=2539
label n=0 pc=2243 pf=207 | mention pc=2439 pf=2558
label n=0 pc=2243 pf=207 | mention pc=1972 pf=2679
label n=0 pc=2243 pf=207 | mention pc=2208 pf=3370
label n=0 pc=2243 pf=207 | mention pc=2379 pf=3591
label n=0 pc=2243 pf=207 | mention pc=2140 pf=3793
label n=0 pc=2243 pf=207 | mention pc=2151 pf=3830
label n=0 pc=2243 pf=207 | mention pc=1833 pf=3849
label n=0 pc=2250 pf=224 | mention pc=2474 pf=121
label n=0 pc=2250 pf=224 | mention pc=2262 pf=253
label n=0 pc=2250 pf=224 | mention pc=2565 pf=311
label n=0 pc=2250 pf=224 | mention pc=2405 pf=348
label n=0 pc=2250 pf=224 | mention pc=2122 pf=505
label n=0 pc=2250 pf=224 | mention pc=2140 pf=710
label n=0 pc=2250 pf=224 | mention pc=2151 pf=747
label n=0 pc=2250 pf=224 | mention pc=2486 pf=766
label n=0 pc=2250 pf=224 | mention pc=2001 pf=1208
label n=0 pc=2250 pf=224 | mention pc=2569 pf=1227
label n=0 pc=2250 pf=224 | mention pc=2446 pf=1523
label n=0 pc=2250 pf=224 | mention pc=2225 pf=1542
label n=0 pc=2250 pf=224 | mention pc=2151 pf=1668
label n=0 pc=2250 pf=224 | mention pc=2126 pf=1771
label n=0 pc=2250 pf=224 | mention pc=2382 pf=1910
label n=0 pc=2250 pf=224 | mention pc=2138 pf=2347
label n=0 pc=2250 pf=224 | mention pc=2058 pf=2366
label n=0 pc=2250 pf=224 | mention pc=2375 pf=2462
label n=0 pc=2250 pf=224 | mention pc=1787 pf=2503
label n=0 pc=2250 pf=224 | mention pc=2013 pf=2539
label n=0 pc=2250 pf=224 | mention pc=2439 pf=2558
label n=0 pc=2250 pf=224 | mention pc=1972 pf=2679
label n=0 pc=2250 pf=224 | mention pc=2208 pf=3370
label n=0 pc=2250 pf=224 | mention pc=2379 pf=3591
label n=0 pc=2250 pf=224 | mention pc=2140 pf=3793
label n=0 pc=2250 pf=224 | mention pc=2151 pf=3830
label n=0 pc=2250 pf=224 | mention pc=1833 pf=3849
label n=0 pc=2255 pf=240 | mention pc=2474 pf=121
label n=0 pc=2255 pf=240 | mention pc=2262 pf=253
label n=0 pc=2255 pf=240 | mention pc=2565 pf=311
label n=0 pc=2255 pf=240 | mention pc=2405 pf=348
label n=0 pc=2255 pf=240 | mention pc=2122 pf=505
label n=0 pc=2255 pf=240 | mention pc=2140 pf=710
label n=0 pc=2255 pf=240 | mention pc=2151 pf=747
label n=0 pc=2255 pf=240 | mention pc=2486 pf=766
label n=0 pc=2255 pf=240 | mention pc=2001 pf=1208
label n=0 pc=2255 pf=240 | mention pc=2569 pf=1227
label n=0 pc=2255 pf=240 | mention pc=2446 pf=1523
label n=0 pc=2255 pf=240 | mention pc=2225 pf=1542
label n=0 pc=2255 pf=240 | mention pc=2151 pf=1668
label n=0 pc=2255 pf=240 | mention pc=2126 pf=1771
label n=0 pc=2255 pf=240 | mention pc=2382 pf=1910
label n=0 pc=2255 pf=240 | mention pc=2138 pf=2347
label n=0 pc=2255 pf=240 | mention pc=2058 pf=2366
label n=0 pc=2255 pf=240 | mention pc=2375 pf=2462
label n=0 pc=2255 pf=240 | mention pc=1787 pf=2503
label n=0 pc=2255 pf=240 | mention pc=2013 pf=2539
label n=0 pc=2255 pf=240 | mention pc=2439 pf=2558
label n=0 pc=2255 pf=240 | mention pc=1972 pf=2679
label n=0 pc=2255 pf=240 | mention pc=2208 pf=3370
label n=0 pc=2255 pf=240 | mention pc=2379 pf=3591
label n=0 pc=2255 pf=240 | mention pc=2140 pf=3793
label n=0 pc=2255 pf=240 | mention pc=2151 pf=3830
label n=0 pc=2255 pf=240 | mention pc=1833 pf=3849
label n=0 pc=2258 pf=259 | mention pc=2474 pf=121
label n=0 pc=2258 pf=259 | mention pc=2262 pf=253
label n=0 pc=2258 pf=259 | mention pc=2565 pf=311
label n=0 pc=2258 pf=259 | mention pc=2405 pf=348
label n=0 pc=2258 pf=259 | mention pc=2122 pf=505
label n=0 pc=2258 pf=259 | mention pc=2140 pf=710
label n=0 pc=2258 pf=259 | mention pc=2151 pf=747
label n=0 pc=2258 pf=259 | mention pc=2486 pf=766
label n=0 pc=2258 pf=259 | mention pc=2001 pf=1208
label n=0 pc=2258 pf=259 | mention pc=2569 pf=1227
label n=0 pc=2258 pf=259 | mention pc=2446 pf=1523
label n=0 pc=2258 pf=259 | mention pc=2225 pf=1542
label n=0 pc=2258 pf=259 | mention pc=2151 pf=1668
label n=0 pc=2258 pf=259 | mention pc=2126 pf=1771
label n=0 pc=2258 pf=259 | mention pc=2382 pf=1910
label n=0 pc=2258 pf=259 | mention pc=2138 pf=2347
label n=0 pc=2258 pf=259 | mention pc=2058 pf=2366
label n=0 pc=2258 pf=259 | mention pc=2375 pf=2462
label n=0 pc=2258 pf=259 | mention pc=1787 pf=2503
label n=0 pc=2258 pf=259 | mention pc=2013 pf=2539
label n=0 pc=2258 pf=259 | mention pc=2439 pf=2558
label n=0 pc=2258 pf=259 | mention pc=1972 pf=2679
label n=0 pc=2258 pf=259 | mention pc=2208 pf=3370
label n=0 pc=2258 pf=259 | mention pc=2379 pf=3591
label n=0 pc=2258 pf=259 | mention pc=2140 pf=3793
label n=0 pc=2258 pf=259 | mention pc=2151 pf=3830
label n=0 pc=2258 pf=259 | mention pc=1833 pf=3849
label n=0 pc=2263 pf=276 | mention pc=2474 pf=121
label n=0 pc=2263 pf=276 | mention pc=2262 pf=253
label n=0 pc=2263 pf=276 | mention pc=2565 pf=311
label n=0 pc=2263 pf=276 | mention pc=2405 pf=348
label n=0 pc=2263 pf=276 | mention pc=2122 pf=505
label n=0 pc=2263 pf=276 | mention pc=2140 pf=710
label n=0 pc=2263 pf=276 | mention pc=2151 pf=747
label n=0 pc=2263 pf=276 | mention pc=2486 pf=766
label n=0 pc=2263 pf=276 | mention pc=2001 pf=1208
label n=0 pc=2263 pf=276 | mention pc=2569 pf=1227
label n=0 pc=2263 pf=276 | mention pc=2446 pf=1523
label n=0 pc=2263 pf=276 | mention pc=2225 pf=1542
label n=0 pc=2263 pf=276 | mention pc=2151 pf=1668
label n=0 pc=2263 pf=276 | mention pc=2126 pf=1771
label n=0 pc=2263 pf=276 | mention pc=2382 pf=1910
label n=0 pc=2263 pf=276 | mention pc=2138 pf=2347
label n=0 pc=2263 pf=276 | mention pc=2058 pf=2366
label n=0 pc=2263 pf=276 | mention pc=2375 pf=2462
label n=0 pc=2263 pf=276 | mention pc=1787 pf=2503
label n=0 pc=2263 pf=276 | mention pc=2013 pf=2539
label n=0 pc=2263 pf=276 | mention pc=2439 pf=2558
label n=0 pc=2263 pf=276 | mention pc=1972 pf=2679
label n=0 pc=2263 pf=276 | mention pc=2208 pf=3370
label n=0 pc=2263 pf=276 | mention pc=2379 pf=3591
label n=0 pc=2263 pf=276 | mention pc=2140 pf=3793
label n=0 pc=2263 pf=276 | mention pc=2151 pf=3830
label n=0 pc=2263 pf=276 | mention pc=1833 pf=3849
label n=0 pc=2268 pf=298 | mention pc=2474 pf=121
label n=0 pc=2268 pf=298 | mention pc=2262 pf=253
label n=0 pc=2268 pf=298 | mention pc=2565 pf=311
label n=0 pc=2268 pf=298 | mention pc=2405 pf=348
label n=0 pc=2268 pf=298 | mention pc=2122 pf=505
label n=0 pc=2268 pf=298 | mention pc=2140 pf=710
label n=0 pc=2268 pf=298 | mention pc=2151 pf=747
label n=0 pc=2268 pf=298 | mention pc=2486 pf=766
label n=0 pc=2268 pf=298 | mention pc=2001 pf=1208
label n=0 pc=2268 pf=298 | mention pc=2569 pf=1227
label n=0 pc=2268 pf=298 | mention pc=2446 pf=1523
label n=0 pc=2268 pf=298 | mention pc=2225 pf=1542
label n=0 pc=2268 pf=298 | mention pc=2151 pf=1668
label n=0 pc=2268 pf=298 | mention pc=2126 pf=1771
label n=0 pc=2268 pf=298 | mention pc=2382 pf=1910
label n=0 pc=2268 pf=298 | mention pc=2138 pf=2347
label n=0 pc=2268 pf=298 | mention pc=2058 pf=2366
label n=0 pc=2268 pf=298 | mention pc=2375 pf=2462
label n=0 pc=2268 pf=298 | mention pc=1787 pf=2503
label n=0 pc=2268 pf=298 | mention pc=2013 pf=2539
label n=0 pc=2268 pf=298 | mention pc=2439 pf=2558
label n=0 pc=2268 pf=298 | mention pc=1972 pf=2679
label n=0 pc=2268 pf=298 | mention pc=2208 pf=3370
label n=0 pc=2268 pf=298 | mention pc=2379 pf=3591
label n=0 pc=2268 pf=298 | mention pc=2140 pf=3793
label n=0 pc=2268 pf=298 | mention pc=2151 pf=3830
label n=0 pc=2268 pf=298 | mention pc=1833 pf=3849
label n=0 pc=2271 pf=317 | mention pc=2474 pf=121
label n=0 pc=2271 pf=317 | mention pc=2262 pf=253
label n=0 pc=2271 pf=317 | mention pc=2565 pf=311
label n=0 pc=2271 pf=317 | mention pc=2405 pf=348
label n=0 pc=2271 pf=317 | mention pc=2122 pf=505
label n=0 pc=2271 pf=317 | mention pc=2140 pf=710
label n=0 pc=2271 pf=317 | mention pc=2151 pf=747
label n=0 pc=2271 pf=317 | mention pc=2486 pf=766
label n=0 pc=2271 pf=317 | mention pc=2001 pf=1208
label n=0 pc=2271 pf=317 | mention pc=2569 pf=1227
label n=0 pc=2271 pf=317 | mention pc=2446 pf=1523
label n=0 pc=2271 pf=317 | mention pc=2225 pf=1542
label n=0 pc=2271 pf=317 | mention pc=2151 pf=1668
label n=0 pc=2271 pf=317 | mention pc=2126 pf=1771
label n=0 pc=2271 pf=317 | mention pc=2382 pf=1910
label n=0 pc=2271 pf=317 | mention pc=2138 pf=2347
label n=0 pc=2271 pf=317 | mention pc=2058 pf=2366
label n=0 pc=2271 pf=317 | mention pc=2375 pf=2462
label n=0 pc=2271 pf=317 | mention pc=1787 pf=2503
label n=0 pc=2271 pf=317 | mention pc=2013 pf=2539
label n=0 pc=2271 pf=317 | mention pc=2439 pf=2558
label n=0 pc=2271 pf=317 | mention pc=1972 pf=2679
label n=0 pc=2271 pf=317 | mention pc=2208 pf=3370
label n=0 pc=2271 pf=317 | mention pc=2379 pf=3591
label n=0 pc=2271 pf=317 | mention pc=2140 pf=3793
label n=0 pc=2271 pf=317 | mention pc=2151 pf=3830
label n=0 pc=2271 pf=317 | mention pc=1833 pf=3849
label n=0 pc=2278 pf=335 | mention pc=2474 pf=121
label n=0 pc=2278 pf=335 | mention pc=2262 pf=253
label n=0 pc=2278 pf=335 | mention pc=2565 pf=311
label n=0 pc=2278 pf=335 | mention pc=2405 pf=348
label n=0 pc=2278 pf=335 | mention pc=2122 pf=505
label n=0 pc=2278 pf=335 | mention pc=2140 pf=710
label n=0 pc=2278 pf=335 | mention pc=2151 pf=747
label n=0 pc=2278 pf=335 | mention pc=2486 pf=766
label n=0 pc=2278 pf=335 | mention pc=2001 pf=1208
label n=0 pc=2278 pf=335 | mention pc=2569 pf=1227
label n=0 pc=2278 pf=335 | mention pc=2446 pf=1523
label n=0 pc=2278 pf=335 | mention pc=2225 pf=1542
label n=0 pc=2278 pf=335 | mention pc=2151 pf=1668
label n=0 pc=2278 pf=335 | mention pc=2126 pf=1771
label n=0 pc=2278 pf=335 | mention pc=2382 pf=1910
label n=0 pc=2278 pf=335 | mention pc=2138 pf=2347
label n=0 pc=2278 pf=335 | mention pc=2058 pf=2366
label n=0 pc=2278 pf=335 | mention pc=2375 pf=2462
label n=0 pc=2278 pf=335 | mention pc=1787 pf=2503
label n=0 pc=2278 pf=335 | mention pc=2013 pf=2539
label n=0 pc=2278 pf=335 | mention pc=2439 pf=2558
label n=0 pc=2278 pf=335 | mention pc=1972 pf=2679
label n=0 pc=2278 pf=335 | mention pc=2208 pf=3370
label n=0 pc=2278 pf=335 | mention pc=2379 pf=3591
label n=0 pc=2278 pf=335 | mention pc=2140 pf=3793
label n=0 pc=2278 pf=335 | mention pc=2151 pf=3830
label n=0 pc=2278 pf=335 | mention pc=1833 pf=3849
label n=0 pc=2281 pf=354 | mention pc=2474 pf=121
label n=0 pc=2281 pf=354 | mention pc=2262 pf=253
label n=0 pc=2281 pf=354 | mention pc=2565 pf=311
label n=0 pc=2281 pf=354 | mention pc=2405 pf=348
label n=0 pc=2281 pf=354 | mention pc=2122 pf=505
label n=0 pc=2281 pf=354 | mention pc=2140 pf=710
label n=0 pc=2281 pf=354 | mention pc=2151 pf=747
label n=0 pc=2281 pf=354 | mention pc=2486 pf=766
label n=0 pc=2281 pf=354 | mention pc=2001 pf=1208
label n=0 pc=2281 pf=354 | mention pc=2569 pf=1227
label n=0 pc=2281 pf=354 | mention pc=2446 pf=1523
label n=0 pc=2281 pf=354 | mention pc=2225 pf=1542
label n=0 pc=2281 pf=354 | mention pc=2151 pf=1668
label n=0 pc=2281 pf=354 | mention pc=2126 pf=1771
label n=0 pc=2281 pf=354 | mention pc=2382 pf=1910
label n=0 pc=2281 pf=354 | mention pc=2138 pf=2347
label n=0 pc=2281 pf=354 | mention pc=2058 pf=2366
label n=0 pc=2281 pf=354 | mention pc=2375 pf=2462
label n=0 pc=2281 pf=354 | mention pc=1787 pf=2503
label n=0 pc=2281 pf=354 | mention pc=2013 pf=2539
label n=0 pc=2281 pf=354 | mention pc=2439 pf=2558
label n=0 pc=2281 pf=354 | mention pc=1972 pf=2679
label n=0 pc=2281 pf=354 | mention pc=2208 pf=3370
